Country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness score,EPI.new,HLT.new,AIR.new,H2O.new,COE.new,BDH.new,Population (2020)
Afghanistan,1.2812711000442505,7.324032306671143,0.2282172292470932,54.875,0.368377149105072,-0.0810111239552497,0.7331978678703308,"2,404",43.6,16.0,15.5,28.1,42.7,30.7,39074280
Albania,5.212213039398193,9.626482963562012,0.7240896224975586,69.17500305175781,0.8022497892379761,-0.0659872591495513,0.8455019593238831,"5,199",47.1,40.0,37.5,54.1,61.5,63.9,2877239
Algeria,5.217017650604248,9.3092622756958,0.8407102823257446,66.5999984741211,0.5584869384765625,-0.1134834140539169,0.7119000554084778,"5,122",29.6,42.0,39.4,53.3,39.9,22.7,43984569
Argentina,6.260993480682373,10.011404991149902,0.8933295607566833,67.25,0.825188934803009,-0.1275062263011932,0.8100374341011047,"5,967",41.1,56.3,52.0,64.8,66.2,42.4,45267449
Armenia,5.3819427490234375,9.667765617370604,0.8111692667007446,67.92500305175781,0.7895985245704651,-0.1543254405260086,0.7047304511070251,"5,399",48.3,40.7,32.1,57.3,53.2,73.3,2964219
Australia,7.034696102142334,10.85352897644043,0.9416733384132384,71.125,0.8537769913673401,0.1534646600484848,0.545216977596283,"7,162",60.1,86.4,91.1,87.1,60.5,82.1,25550683
Austria,6.998997211456299,10.93891716003418,0.8762874007225037,71.2750015258789,0.8555026054382324,0.1390420943498611,0.524212121963501,"7,163",66.5,81.7,75.0,94.7,52.9,86.0,9015361
Bahrain,6.173175811767578,10.775781631469728,0.8477450609207153,65.82499694824219,0.9452325701713562,0.1170251443982124,0.5247032642364502,"6,647",42.0,45.3,34.7,56.6,32.8,15.3,1711057
Bangladesh,3.407532215118408,8.743256568908691,0.4037075340747833,64.67500305175781,0.8645762801170349,-0.0547760762274265,0.6168723702430725,"5,155",23.1,18.1,14.4,27.4,0.0,37.4,164972348
Belgium,6.856874465942383,10.878268241882324,0.922732710838318,71.05000305175781,0.8898890018463135,0.0969439968466758,0.4833844304084778,"6,805",58.2,77.9,74.6,93.6,54.3,82.4,11598451
Benin,4.217325687408447,8.13679313659668,0.3656828105449676,56.400001525878906,0.714036762714386,-0.0296746734529733,0.5796189308166504,"4,623",29.6,22.2,22.3,13.5,29.1,63.6,12175480
Bolivia,5.928882122039795,9.014473915100098,0.8235102891921997,63.75,0.8650104403495789,-0.0802444666624069,0.840244710445404,"5,600",40.1,35.8,30.0,40.1,53.0,82.6,11700207
Bosnia and Herzegovina,5.748823165893555,9.659282684326172,0.8599535822868347,67.30000305175781,0.7589792013168335,0.2771472632884979,0.9209139347076416,"5,768",39.4,38.0,27.8,61.5,57.0,34.1,3277152
Brazil,6.257079601287842,9.61054801940918,0.8658097386360168,65.92500305175781,0.8297713398933411,-0.0606905482709407,0.7419635057449341,"6,293",43.6,46.0,44.9,46.2,54.5,78.2,212821986
Bulgaria,5.3783488273620605,10.137581825256348,0.9527610540390016,66.5999984741211,0.7413594126701355,-0.1452126950025558,0.9416257739067078,"5,371",51.9,43.2,28.6,68.4,53.7,75.1,6939018
Burkina Faso,4.6355085372924805,7.686983585357666,0.6575435996055603,55.650001525878906,0.644101619720459,0.0673671513795852,0.7361589074134827,"4,670",35.5,20.9,26.1,7.8,46.6,78.5,20997293
Cambodia,4.250280857086182,8.414617538452148,0.7836018800735474,62.099998474121094,0.9462440609931946,0.1540942937135696,0.85968416929245,"4,640",30.1,27.6,25.9,34.3,36.9,65.8,16758448
Cameroon,4.712408065795898,8.227441787719727,0.6291086077690125,56.525001525878906,0.6745063662528992,0.0253192037343978,0.8493253588676453,"5,048",30.2,14.3,13.2,7.8,28.8,42.0,26655083
Canada,6.917935371398926,10.803366661071776,0.9291015267372132,71.44999694824219,0.8382639288902283,0.2215419262647628,0.4420001804828644,"7,025",50.0,85.9,88.0,88.1,56.4,62.9,37799407
Chile,6.415198802947998,10.153562545776367,0.8867619633674622,70.44999694824219,0.7934855818748474,-0.010977616533637,0.7963963747024536,"6,172",46.7,58.0,48.4,68.1,8.2,61.3,19144605
China,5.8628644943237305,9.77580738067627,0.8560069799423218,68.75,0.8747555017471313,0.0221414119005203,,"5,585",28.4,32.8,20.6,59.5,0.0,9.4,1440297825
Colombia,5.891712188720703,9.659547805786133,0.8769494295120239,69.5250015258789,0.7991837859153748,-0.1618072241544723,0.8626412153244019,"5,781",42.4,50.3,44.0,55.9,41.5,77.4,50976248
Costa Rica,7.076658248901367,9.99783706665039,0.901608407497406,70.0,0.9100263118743896,-0.0470020323991775,0.750560998916626,"6,582",46.3,55.4,51.4,66.2,68.2,68.5,5102158
Croatia,5.578691482543945,10.458263397216797,0.9099843502044678,69.125,0.593485951423645,-0.2126668393611908,0.875081479549408,"6,125",60.2,55.7,45.8,70.3,50.3,81.5,4100719
Cyprus,5.8647565841674805,10.638297080993652,0.8195474743843079,73.0,0.6984071135520935,-0.0364112444221973,0.8873282670974731,"6,221",58.0,73.8,68.3,94.0,67.3,78.3,1208886
Denmark,7.544964790344238,10.994298934936523,0.9703063368797302,71.375,0.9295474886894226,0.2241153120994568,0.2031404972076416,"7,636",77.9,85.5,80.5,97.5,65.2,76.9,5795780
Dominican Republic,5.518415927886963,9.873703002929688,0.8204224705696106,64.5999984741211,0.8533018827438354,-0.0838190242648124,0.6559762358665466,"5,737",42.2,33.0,33.5,39.0,62.5,80.7,10866667
Ecuador,5.887132167816162,9.290071487426758,0.8251397013664246,69.25,0.7585872411727905,-0.0799879431724548,0.8657894730567932,"5,533",46.5,46.9,44.1,50.3,47.8,75.2,17688599
Egypt,4.023561000823975,9.403931617736816,0.7692161202430725,63.75,0.732525110244751,-0.2077344954013824,0.5804541707038879,"4,288",35.5,31.5,34.6,36.7,15.1,42.5,102659126
El Salvador,6.492156028747559,9.134880065917969,0.7723808288574219,65.94999694824219,0.914063274860382,-0.112227663397789,0.6210974454879761,"6,120",40.8,39.3,36.7,41.7,37.0,31.4,6491923
Estonia,6.357114315032959,10.5713529586792,0.9333325028419496,69.875,0.9039506912231444,0.1357418298721313,0.3903009295463562,"6,341",61.4,71.8,74.6,61.9,59.1,86.0,1326693
Ethiopia,3.6280715465545654,7.757498741149902,0.7401676177978516,61.099998474121094,0.673658549785614,0.3612450957298279,0.7931052446365356,"4,241",31.8,25.3,33.7,11.0,24.4,59.2,115434444
Finland,7.728998184204102,10.81419277191162,0.9743951559066772,71.2249984741211,0.958609104156494,0.1021473631262779,0.190206691622734,"7,821",76.5,93.4,93.5,100.0,64.5,71.1,5542237
France,6.61380672454834,10.736878395080566,0.8655146360397339,72.4000015258789,0.798249363899231,-0.0249877143651247,0.5327767133712769,"6,687",62.5,83.9,82.0,96.3,56.7,86.5,65298930
Gabon,5.139500617980957,9.539199829101562,0.7752477526664734,58.57500076293945,0.6992760300636292,-0.1643656194210052,0.8027749061584473,"4,958",49.7,29.4,25.7,27.7,42.3,85.1,2234448
Georgia,5.292755126953125,9.746482849121094,0.7544909715652466,65.07499694824219,0.8209031820297241,-0.2528522312641144,0.6551721096038818,"4,973",39.1,37.5,27.9,51.7,61.9,40.4,3987805
Germany,6.608206748962402,10.898526191711426,0.9158080220222472,71.5,0.8952218890190125,0.0809241160750389,0.4165771603584289,"7,034",62.4,82.0,75.2,99.1,56.3,88.5,83830972
Ghana,4.190854549407959,8.615270614624023,0.6281613111495972,59.125,0.7864399552345276,0.1172217205166816,0.9088888764381408,"4,872",27.7,20.5,15.3,20.9,32.8,52.9,31181428
Greece,5.900459289550781,10.363692283630373,0.8753129839897156,71.2750015258789,0.5625561475753784,-0.3164249658584595,0.8742860555648804,"5,948",56.2,71.5,62.0,98.2,59.8,69.1,10413936
Guinea,5.317492961883545,7.899697303771973,0.5820174217224121,54.650001525878906,0.7292320728302002,0.1391628831624984,0.7703503966331482,"4,891",31.6,19.5,21.0,11.3,24.9,60.6,13191279
Honduras,5.9318037033081055,8.644883155822754,0.7286148071289062,64.2750015258789,0.8511993885040283,0.0812592282891273,0.83424973487854,"6,022",36.5,30.0,31.3,31.8,52.6,60.7,9931333
Hungary,5.861183166503906,10.484207153320312,0.9370588660240172,67.6500015258789,0.7755020260810852,-0.0084751527756452,0.8482493758201599,"6,086",55.1,47.6,38.2,62.2,53.1,78.0,9655983
Iceland,7.448794364929199,10.93511199951172,0.9848011136054992,72.07499694824219,0.9356690049171448,0.2219105809926986,0.6924341320991516,"7,557",62.8,94.7,96.0,100.0,73.7,57.0,341628
India,3.929816246032715,8.84992504119873,0.6080451011657715,61.20000076293945,0.8931310176849365,0.0895021259784698,0.7707419991493225,"3,777",18.9,12.5,7.8,19.5,0.0,5.8,1382345085
Indonesia,5.584685802459717,9.425395965576172,0.8340766429901123,63.17499923706055,0.9032506942749025,0.5188231468200684,0.8617085218429565,"5,240",28.2,25.3,21.5,28.5,17.4,51.2,274021604
Iran,4.976995468139648,9.637630462646484,0.8000702857971191,66.75,0.5702034831047058,0.2116532176733017,0.7660799026489258,"4,888",34.5,41.9,41.6,53.7,6.9,27.3,84176929
Iraq,5.093667984008789,9.10079288482666,0.7302128672599792,63.650001525878906,0.5944667458534241,0.0074946717359125,0.9006400108337402,"4,941",27.8,35.0,31.8,49.7,19.7,28.3,40372771
Ireland,6.869863986968994,11.624914169311523,0.9060792922973632,71.4000015258789,0.8950095176696777,0.1402642577886581,0.3578122556209564,"7,041",57.4,88.3,89.1,97.4,71.0,59.6,4947267
Israel,7.662397384643555,10.692273139953612,0.9536527395248412,72.8499984741211,0.7749474048614502,-0.0048733572475612,0.6546988487243652,"7,364",48.2,76.0,68.0,92.9,13.7,39.7,8678517
Italy,6.258476734161377,10.685420036315918,0.8693636059761047,72.125,0.710519015789032,0.0282783322036266,0.8187083005905151,"6,467",57.7,76.9,69.4,98.3,48.9,76.5,60446035
Jamaica,5.870189189910889,9.198162078857422,0.8680406808853149,66.5999984741211,0.8742675185203552,-0.087598979473114,0.9096440672874452,"5,850",45.6,41.8,39.8,49.4,67.1,53.2,2963429
Japan,6.178009986877441,10.63616180419922,0.8986499309539795,74.4749984741211,0.7888569831848145,-0.2354891449213028,0.6430096626281738,"6,039",57.2,82.5,78.9,95.1,51.6,80.8,126407422
Jordan,4.355606555938721,9.134369850158691,0.774262011051178,67.5999984741211,0.7594186663627625,-0.1529449820518493,0.7145845890045166,"4,152",43.6,52.2,50.7,62.7,23.0,24.1,10220604
Kazakhstan,6.006279468536377,10.186872482299805,0.923373281955719,66.19999694824219,0.8829379677772522,0.0224082898348569,0.7201685309410095,"6,234",40.9,37.5,28.6,55.2,60.2,48.6,18815231
Kenya,4.447946548461914,8.499298095703125,0.6905949711799622,58.900001525878906,0.705976128578186,0.294315904378891,0.8777757287025452,"4,543",30.8,26.2,30.0,13.7,13.8,46.4,53968739
Kyrgyzstan,5.667840957641602,8.516772270202637,0.9269707798957824,67.375,0.9483615756034852,0.2359824180603027,0.8761541843414307,"5,828",35.7,29.1,23.5,45.6,59.3,28.5,6542426
Laos,4.9265217781066895,8.967883110046387,0.6498932838439941,61.099998474121094,0.927041471004486,0.0402045957744121,0.6680314540863037,"5,140",30.7,24.2,22.6,26.6,0.0,74.9,7293542
Latvia,6.054838180541992,10.406678199768066,0.92808997631073,66.5,0.817082405090332,0.0189492646604776,0.8442295789718628,"6,180",61.1,56.9,51.1,59.1,55.6,84.3,1882408
Lebanon,2.3524277210235596,9.428472518920898,0.5345284342765808,66.2249984741211,0.4495754241943359,-0.1255138516426086,0.8829959630966187,"2,955",32.2,46.3,41.2,59.8,20.8,12.8,6819976
Lithuania,7.037577152252197,10.601837158203123,0.9370965361595154,67.75,0.7096622586250305,-0.1908418387174606,0.684991180896759,"6,446",55.9,61.8,58.4,58.4,57.4,84.4,2715340
Malawi,3.3555634021759033,7.295767784118652,0.5033251643180847,58.75,0.7435716390609741,0.020473713055253,0.7549264430999756,"3,750",40.6,26.7,35.7,12.1,39.3,82.4,19211425
Malaysia,6.010391712188721,10.178584098815918,0.7940511703491211,65.6500015258789,0.8783622980117798,0.2197775691747665,0.7694174647331238,"5,711",35.0,48.0,43.7,57.6,13.6,51.9,32436963
Mali,4.210547924041748,7.645281791687012,0.6416252255439758,55.79999923706055,0.817642867565155,-0.0192033089697361,0.7456467151641846,"4,479",28.5,20.4,26.7,8.3,52.6,46.9,20346106
Malta,6.299238204956055,10.706805229187012,0.9320827722549438,71.6500015258789,0.8375440835952759,0.2417655736207962,0.7575398087501526,"6,447",75.2,76.5,73.2,99.8,71.2,72.9,441750
Mauritius,5.7405009269714355,10.006891250610352,0.8870362043380737,63.82500076293945,0.7981438040733337,-0.0375325232744216,0.7689536213874817,"6,071",44.8,57.6,50.7,65.5,97.6,18.0,1272140
Mexico,7.0383687019348145,9.876176834106444,0.8583608865737915,65.80000305175781,0.8608891367912292,-0.1207418292760849,0.780077338218689,"6,128",45.5,40.9,34.2,52.9,28.5,69.8,129166028
Moldova,5.686611652374268,9.54000759124756,0.81673264503479,65.69999694824219,0.8285158276557922,-0.0872194319963455,0.8847888112068176,"5,857",42.7,42.0,40.5,50.0,62.1,49.8,4032294
Mongolia,5.787830352783203,9.388139724731444,0.9513360261917114,60.599998474121094,0.7170596718788147,0.2138517946004867,0.846957802772522,"5,761",29.6,23.8,14.9,43.2,61.6,67.7,3287242
Montenegro,5.72216272354126,9.81259059906006,0.8871294856071472,67.0999984741211,0.8018550872802734,0.063483290374279,0.8446871042251587,"5,547",46.9,41.3,30.7,65.6,61.5,52.6,628080
Morocco,4.59609317779541,8.995898246765137,0.5635776519775391,64.0,0.7947052121162415,-0.2541082203388214,0.8021376729011536,"5,060",28.4,28.6,22.7,40.9,44.9,16.6,36985624
Mozambique,4.739677429199219,7.120275497436523,0.7106999158859253,51.75,0.8840880990028381,0.0472194962203502,0.6878216862678528,"5,048",31.7,28.3,37.9,16.4,60.9,65.2,31398811
